Midi file name	BWV	K	B	EMB	R
000106b_.mid	1.6	378		375	
000206b_.mid	2.6	7	262	5	262
000306b_.mid	3.6	8	156	8	156
000306bv.mid	3.6v		307		
000306bv.mid	3.6				308
000408b_.mid	4.8	41		36	184
000408bv.mid	4.8v		184		
000507b_.mid	5.7	28	303	25	304
000606b_.mid	6.6	79	72	80	72
000707b_.mid	7.7	44		41	
000806b_.mid	8.6	227	43	224	43
000907b_.mid	9.7	87	289	87	290
001007b_.mid	10.7	122	357	238	358
001106b_.mid	11.6	82	342	81	343
001207b_.mid	12.7	340		338	
001306b_.mid	13.6	295	103	289	103
001405b_.mid	14.5	330	182	330	182
001606b_.mid	16.6	125	99	123	99
001707b_.mid	17.7	271	6	269	7
001805b_.mid	18.5	73	100	74	100
001805ba.mid	18a.5		126		126
001907b_.mid	19.7	99	297	99	298
001907ch.mid	19.7ch		297		
002007b_.mid	20.7	276	26	275	26
002011b_.mid	20.11	276	26	275	26
002406b_.mid	24.6		336		
002406bs.mid	24.6s		336		337
002506b_.mid	25.6	101		100	254
002506b_.mid	25.6	101		100	282
002506v1.mid	25.6v1		254		
002506v2.mid	25.6v2		282		
002606b_.mid	26.6	11	48	11	48
002706b_.mid	27.6	350	150		150
002806b_.mid	28.6	124	88	124	88
002806b_.mid	28.6	124	23	124	23
002908b_.mid	29.8	272	116	270	116
002908ch.mid	29.8ch		116		
003006b_.mid	30.6	103		101	76
003006bv.mid	30.6v		76		
003109b_.mid	31.9	357		353	
003109b_.mid	31.9ch				
003206b_.mid	32.6	102	29	102	29
003306b_.mid	33.6	16	13	17	13
003604b2.mid	36(2).4	377	85	376	305
003604b2.mid	36(2).4	377	85	376	86
003604b2.mid	36(2).4	377	195	376	195
003608b2.mid	36(2).8	264	28	264	28
003706b_.mid	37.6	178	340	174	341
003806b_.mid	38.6	31	10	31	10
003907b_.mid	39.7	104		103	67
003907bv.mid	39.7v		67		
004003b_.mid	40.3	379	320	379	321
004006b_.mid	40.6	305	142	305	142
004008b_.mid	40.8	105	8	106	8
004106b_.mid	41.6	204		209	
004106bs.mid	41.6s		11		11
004207b_.mid	42.7	322	259	321	259
004207b_.mid	42.7	322	91	321	91
004207b_.mid	42.7	322	91	321	91
004207b_.mid	42.7	322	259	321	259
004311b_.mid	43.11	81	102	82	102
004407b_.mid	44.7	296	354	290	355
004507b_.mid	45.7	278	84	278	85
004606bs.mid	46.6s		81		82
004705b_.mid	47.5	333	94	331	94
004803b_.mid	48.3	4	279	3	279
004807b_.mid	48.7	144	266	139	266
005206b_.mid	52.6	212		185	
005505b_.mid	55.5	362	95	368	95
005605b_.mid	56.5	72	86	72	87
005708b_.mid	57.8	231	90	227	90
005903b_.mid	59.3	220		218	
006005b_.mid	60.5	91	216	92	216
006206b_.mid	62.6	265		265	
006206bv.mid	62.6v		170		170
006402b_.mid	64.2	108	160	108	160
006402bv.mid	64.2v			109	
006404b_.mid	64.4	280	255	279	255
006404b_.mid	64.4v	281		280	
006408b_.mid	64.8	200	138	201	138
006502b_.mid	65.2	302	12	302	12
006507b_.mid	65.7	346	41	343	41
006606b_.mid	66.6	37		34	
006704b_.mid	67.4	83		84	
006707b_.mid	67.7	68	42	69	42
006906b_.mid	69.6	97	332	96	333
006906ba.mid	69a.6			339	293
006906bav.mid	69a.6v		292		
007007b_.mid	70.7	98		104	
007011b_.mid	70.11	243	347	241	348
007011ch.mid	70.11ch		347		
007206b_.mid	72.6	344		344	
007305b_.mid	73.5	328		325	
007305bv.mid	73.5v		191		191
007408b_.mid	74.8	223	369	220	370
007706b_.mid	77.6	6	253	6	253
007807b_.mid	78.7	188	296	190	297
007903b_.mid	79.3	259		257	
007906b_.mid	79.6	267		266	
008008b_.mid	80.8	76	273	75	273
008107b_.mid	81.7	197	323	202	324
008305b_.mid	83.5	250	324	249	325
008405b_.mid	84.5	373	112	361	112
008506b_.mid	85.6	216	122	189	122
008606b_.mid	86.6	86	4	88	4
008707b_.mid	87.7	201	96	203	96
008807b_.mid	88.7	368	104	362	104
008906b_.mid	89.6	26	281	26	281
009005b_.mid	90.5	319	267	316	267
009106b_.mid	91.6	109	53	110	
009106ch.mid	91.6	109	53	110	51
009209b_.mid	92.9	347		345	
009307b_.mid	93.7	369		363	
009408b_.mid	94.8	281	290	280	291
009507b_.mid	95.7	356		354	
009606b_.mid	96.6	128	302	126	303
009709b_.mid	97.9	297		291	
009709ch.mid	97.9ch				
009906b_.mid	99.6	341		340	
010107b_.mid	101.7	318		317	292
010107bv.mid	101.7v		291		
010207b_.mid	102.7	320	110	318	110
010306b_.mid	103.6	348	120	346	120
010306b_.mid	103.6	348	348	346	349
010406b_.mid	104.6	13	325	14	326
010406bv.mid	104.6v		125		
010406bv.mid	104.6v		125		125
010506b_.mid	105.6			191	
010806b_.mid	108.6	224	46	221	45
011007b_.mid	110.7	380	57	380	55
011106b_.mid	111.6	345		347	
011205b_.mid	112.5	14	312	15	313
011205b_.mid	112.5	14	352	15	353
011308b_.mid	113.8	142	293	140	294
011407b_.mid	114.7	386	300	383	301
011506b_.mid	115.6	312		313	
011506bv.mid	115.6v		38		38
011606b_.mid	116.6	69		70	
011704b_.mid	117.4	90		89	
011704v1.mid	117.4v1		248		248
011704v2.mid	117.4v2		353		354
011709b_.mid	117.9	90		89	
011909b_.mid	119.9	134		131	
012006b_.mid	120.6	135		132	
012008ba.mid	120a.8	230		228	
012106b_.mid	121.6	42	55	46	56
012206b_.mid	122.6	57	52	58	53
012206b_.mid	122.6	57	178	58	178
012306b_.mid	123.6	229	194	225	194
012406b_.mid	124.6	246		242	
012506b_.mid	125.6	251		250	
012606b_.mid	126.6	321		322	
012606b_.mid	126.6	321		322	
012606bv.mid	126.6v		215		
012606bv.mid	126.6v		215		
012705b_.mid	127.5	147	283.1	144	284
012805b_.mid	128.5	279		281	
013006b_.mid	130.6	131		128	
013306b_.mid	133.6	181	61	179	60
013506b_.mid	135.6	156		154	
013606b_.mid	136.6	27	330	27	331
013705b_.mid	137.5	230		228	
013705ch.mid	137.5ch				
013906b_.mid	139.6	238		234	
014007b_.mid	140.7	329	179	329	179
014403b_.mid	144.3	338	64	341	65
014406b_.mid	144.6	343	265	348	265
014500ba.mid	145a	209	337	214	338
014505b_.mid	145.5	84		85	17
014505bv.mid	145.5v		17		
014608b_.mid	146.8	360		369	
014806b_.mid	148.6	29		28	
014806bv.mid	148.6v		25		25
014907b_.mid	149.7	155		150	
014907ch.mid	149.7	155		150	
015105b_.mid	151.5	235	54	230	54
015301b_.mid	153.1	5	3	7	3
015305b_.mid	153.5	160	21	155	21
015309b_.mid	153.9	9	217	9	217
015403b_.mid	154.3	365	233	370	233
015408b_.mid	154.8	244	152	243	152
015505b_.mid	155.5	88	334	90	335
015606b_.mid	156.6	150	316	148	317
015705b_.mid	157.5	245		244	
015804b_.mid	158.4	40	261	37	261
015804bv.mid	158.4v	40		38	
015905b_.mid	159.5	194	59	198	61
016106b_.mid	161.6	161	270	156	270
016206b_.mid	162.6	18		12	
016406b_.mid	164.6	127	101	127	101
016506b_.mid	165.6	266		267	
016606b_.mid	166.6	372	204	364	204
016806b_.mid	168.6	143	92	141	92
016907b_.mid	169.7	256	97	254	97
017106b_.mid	171.6	204		209	
017206b_.mid	172.6	376	322	377	323
017206ch.mid	172.6ch		322		
